Round,Indicator,Group,Subgroup,Sample Size,Response,Percent
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,4.6
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,"4,502",Total,100
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,13
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,63.9
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,13.9
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,9.1
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,809,Total,100
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,18
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,60.7
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,8.3
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,13
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,527,Total,100
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,17.7
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,56.4
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,13.7
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,12.2
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,938,Total,100
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,13.9
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,56
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,12.1
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,17.9
1,Provider offered telemedicine prior to pandemic,Sex,Male,"2,962",Total,100
1,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,13.9
1,Provider offered telemedicine prior to pandemic,Sex,Male,,No,60.4
1,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,12.8
1,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,12.9
1,Provider offered telemedicine prior to pandemic,Sex,Female,"3,814",Total,100
1,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,14.4
1,Provider offered telemedicine prior to pandemic,Sex,Female,,No,62.9
1,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,13
1,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,9.8
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,"1,292",Total,100
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,13.2
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,61.8
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,10.8
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,14.2
1,Provider offered telemedicine prior to pandemic,Education,Some college,"2,546",Total,100
1,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,13.8
1,Provider offered telemedicine prior to pandemic,Education,Some college,,No,62.4
1,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,13.5
1,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,10.3
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,"2,938",Total,100
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,15.5
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,60.8
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,14.7
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,9
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,"6,040",Total,100
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,14.5
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,60.7
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,13
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,11.8
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,736,Total,100
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,11.6
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,69.2
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,11.9
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,7.2
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,"4,076",Total,100
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,15.6
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,66
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,11.3
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,7.1
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,765,Total,100
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,17.8
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,68.1
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,7.9
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,6.2
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,"2,419",Total,100
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,15.1
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,68.2
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,10.8
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.9
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,698,Total,100
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,18.3
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,64.3
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,9.1
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,8.2
2,Provider offered telemedicine prior to pandemic,Total,Total,"5,959",Total,100
2,Provider offered telemedicine prior to pandemic,Total,Total,,Yes,14.1
2,Provider offered telemedicine prior to pandemic,Total,Total,,No,62.6
2,Provider offered telemedicine prior to pandemic,Total,Total,,Do not know,13.8
2,Provider offered telemedicine prior to pandemic,Total,Total,,No usual place of care,9.5
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,"2,206",Total,100
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Yes,14
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No,55.4
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Do not know,16.5
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No usual place of care,14
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,"2,076",Total,100
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Yes,14.3
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No,65.5
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Do not know,13.3
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No usual place of care,7
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,"1,677",Total,100
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Yes,14
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No,74
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Do not know,8.6
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,3.4
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,"4,065",Total,100
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,12.4
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,64.6
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,15
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,8
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,687,Total,100
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,18.1
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,64.3
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,8.1
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,9.5
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,459,Total,100
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,16
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,61.3
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,12.6
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,10.1
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,748,Total,100
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,17
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,54.1
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,13.9
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,15
2,Provider offered telemedicine prior to pandemic,Sex,Male,"2,585",Total,100
2,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,14.3
2,Provider offered telemedicine prior to pandemic,Sex,Male,,No,59.7
2,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,14.8
2,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,11.3
2,Provider offered telemedicine prior to pandemic,Sex,Female,"3,374",Total,100
2,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,14
2,Provider offered telemedicine prior to pandemic,Sex,Female,,No,65.3
2,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,12.9
2,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,7.9
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,"1,100",Total,100
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,13.3
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,62.9
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,12.6
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,11.2
2,Provider offered telemedicine prior to pandemic,Education,Some college,"2,215",Total,100
2,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,14.8
2,Provider offered telemedicine prior to pandemic,Education,Some college,,No,62.5
2,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,13.9
2,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,8.7
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,"2,644",Total,100
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,14.3
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,62.3
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,15
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,8.4
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,"5,304",Total,100
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,14.7
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,61.9
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,13.7
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,9.7
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,655,Total,100
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,9.4
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,68.3
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,14.5
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,7.8
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,"3,638",Total,100
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,15.4
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,66.8
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,11.5
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,6.2
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,684,Total,100
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,18
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,68.7
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,7.6
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,5.7
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,"2,181",Total,100
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,16
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,67.9
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,10.8
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.3
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,618,Total,100
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,16
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,63.6
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,11.8
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,8.6
