Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant,Respondants
2,Scheduled one or more telemedicine appointments,Sex,Female,,No,17.4,1,,0,587
2,Scheduled one or more telemedicine appointments,Sex,Female,,No telemedicine available,54.7,0.9,,0,1844
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,1094,Total,100,,,,1094
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,Yes,21.9,1.5,,0,240
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No,15.9,1.3,,0,174
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No telemedicine available,62.2,1.7,,0,680
2,Scheduled one or more telemedicine appointments,Education,Some college,2213,Total,100,,,,2213
2,Scheduled one or more telemedicine appointments,Education,Some college,,Yes,25.8,1.1,,0,571
2,Scheduled one or more telemedicine appointments,Education,Some college,,No,16.4,0.9,,0,363
2,Scheduled one or more telemedicine appointments,Education,Some college,,No telemedicine available,57.8,1.1,,0,1279
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,2642,Total,100,,,,2642
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,Yes,25.5,1,,0,674
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No,21.3,0.9,,1,563
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No telemedicine available,53.1,1.3,,0,1403
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,5292,Total,100,,,,5292
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,Yes,25,0.7,,0,1323
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No,18.1,0.8,,0,958
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No telemedicine available,56.9,0.8,,0,3011
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,657,Total,100,,,,657
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,Yes,18.7,2.1,,1,123
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No,16.5,1.8,,0,108
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No telemedicine available,64.8,3,,0,426
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,3638,Total,100,,,,3638
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,Yes,30.1,1,,0,1095
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No,17.8,0.9,,0,648
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No telemedicine available,52.1,1,,0,1895
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,687,Total,100,,,,687
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,Yes,41.6,3.1,,0,286
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No,15.7,2,,0,108
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No telemedicine available,42.7,3,,0,293
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,2186,Total,100,,,,2186
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,Yes,32.7,1.4,,0,715
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No,17.4,1.1,,0,380
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No telemedicine available,49.9,1.6,,0,1091
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,614,Total,100,,,,614
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,Yes,32.4,2.4,,0,199
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No,14.8,2.2,,0,91
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No telemedicine available,52.7,2.4,,0,324
1,Provider offered telemedicine prior to pandemic,Total,Total,6776,Total,100,,,,6776
1,Provider offered telemedicine prior to pandemic,Total,Total,,Yes,14.1,0.5,,,955
1,Provider offered telemedicine prior to pandemic,Total,Total,,No,61.7,0.6,,,4181
1,Provider offered telemedicine prior to pandemic,Total,Total,,Do not know,12.9,0.5,,,874
1,Provider offered telemedicine prior to pandemic,Total,Total,,No usual place of care,11.3,0.7,,,766
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,2602,Total,100,,,,2602
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Yes,13.7,1,,,356
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No,55.6,1.2,,,1447
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Do not know,13.7,0.7,,,356
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No usual place of care,16.9,1.1,,,440
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,2373,Total,100,,,,2373
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Yes,13.9,0.8,,,330
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No,65.9,1.1,,,1564
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Do not know,12.6,0.8,,,299
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No usual place of care,7.6,0.7,,,180
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,1801,Total,100,,,,1801
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Yes,15.3,1.1,,,276
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No,68.3,1.3,,,1230
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Do not know,11.8,1,,,213
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,4.6,0.8,,,83
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,4502,Total,100,,,,4502
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,13,0.5,,,585
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,63.9,0.7,,,2877
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,13.9,0.6,,,626
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,9.1,0.7,,,410
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,809,Total,100,,,,809
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,18,1.3,,,146
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,60.7,2.4,,,491
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,8.3,1.2,,,67
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,13,2.2,,,105
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,527,Total,100,,,,527
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,17.7,2.6,,,93
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,56.4,3.6,,,297
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,13.7,3.3,,,72
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,12.2,2.4,,,64
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,938,Total,100,,,,938
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,13.9,1.7,,,130
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,56,3,,,525
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,12.1,1.4,,,113
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,17.9,2.6,,,168
1,Provider offered telemedicine prior to pandemic,Sex,Male,2962,Total,100,,,,2962
1,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,13.9,0.7,,,412
1,Provider offered telemedicine prior to pandemic,Sex,Male,,No,60.4,0.9,,,1789
1,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,12.8,0.6,,,379
1,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,12.9,1,,,382
1,Provider offered telemedicine prior to pandemic,Sex,Female,3814,Total,100,,,,3814
1,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,14.4,0.7,,,549
1,Provider offered telemedicine prior to pandemic,Sex,Female,,No,62.9,1.1,,,2399
1,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,13,0.7,,,496
1,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,9.8,1,,,374
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,1292,Total,100,,,,1292
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,13.2,1,,,171
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,61.8,1.4,,,798
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,10.8,1.1,,,140
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,14.2,1.6,,,183
1,Provider offered telemedicine prior to pandemic,Education,Some college,2546,Total,100,,,,2546
1,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,13.8,1,,,351
1,Provider offered telemedicine prior to pandemic,Education,Some college,,No,62.4,1.3,,,1589
1,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,13.5,0.8,,,344
1,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,10.3,0.7,,,262
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,2938,Total,100,,,,2938
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,15.5,0.7,,,455
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,60.8,0.9,,,1786
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,14.7,0.8,,,432
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,9,0.6,,,264
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,6040,Total,100,,,,6040
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,14.5,0.5,,,876
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,60.7,0.6,,,3666
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,13,0.5,,,785
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,11.8,0.7,,,713
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,736,Total,100,,,,736
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,11.6,1.4,,,85
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,69.2,2.7,,,509
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,11.9,1.6,,,88
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,7.2,1.7,,,53
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,4076,Total,100,,,,4076
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,15.6,0.6,,,636
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,66,0.9,,,2690
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,11.3,0.7,,,461
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,7.1,0.6,,,289
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,765,Total,100,,,,765
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,17.8,1.9,,,136
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,68.1,2.3,,,521
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,7.9,1.1,,,60
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,6.2,1.4,,,47
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,2419,Total,100,,,,2419
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,15.1,1,,,365
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,68.2,1.3,,,1650
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,10.8,1.1,,,261
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.9,0.7,,,143
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,698,Total,100,,,,698
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,18.3,2,,,128
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,64.3,1.8,,,449
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,9.1,1.4,,,64
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,8.2,1.6,,,57
2,Provider offered telemedicine prior to pandemic,Total,Total,5959,Total,100,,,,5959
2,Provider offered telemedicine prior to pandemic,Total,Total,,Yes,14.1,0.7,,0,840
2,Provider offered telemedicine prior to pandemic,Total,Total,,No,62.6,0.9,,0,3730
2,Provider offered telemedicine prior to pandemic,Total,Total,,Do not know,13.8,0.6,,0,822
2,Provider offered telemedicine prior to pandemic,Total,Total,,No usual place of care,9.5,0.7,,1,566
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,2206,Total,100,,,,2206
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Yes,14,1,,0,309
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No,55.4,1.4,,0,1222
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Do not know,16.5,1.1,,1,364
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No usual place of care,14,1.3,,1,309
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,2076,Total,100,,,,2076
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Yes,14.3,0.8,,0,297
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No,65.5,1.3,,0,1360
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Do not know,13.3,1,,0,276
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No usual place of care,7,0.8,,0,145
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,1677,Total,100,,,,1677
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Yes,14,1.1,,0,235
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No,74,1.1,,1,1241
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Do not know,8.6,1,,1,144
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,3.4,0.6,,0,57
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,4065,Total,100,,,,4065
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,12.4,0.6,,0,504
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,64.6,1.1,,0,2626
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,15,0.8,,0,610
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,8,0.8,,0,325
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,687,Total,100,,,,687
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,18.1,1.8,,0,124
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,64.3,2,,0,442
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,8.1,1.3,,0,56
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,9.5,1.7,,0,65
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,459,Total,100,,,,459
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,16,2.1,,0,73
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,61.3,3.1,,0,281
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,12.6,1.9,,0,58
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,10.1,1.8,,0,46
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,748,Total,100,,,,748
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,17,2.6,,0,127
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,54.1,3.5,,0,405
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,13.9,3.1,,0,104
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,15,1.9,,0,112
2,Provider offered telemedicine prior to pandemic,Sex,Male,2585,Total,100,,,,2585
2,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,14.3,1,,0,370
2,Provider offered telemedicine prior to pandemic,Sex,Male,,No,59.7,1.4,,0,1543
2,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,14.8,1,,1,383
2,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,11.3,0.9,,0,292
2,Provider offered telemedicine prior to pandemic,Sex,Female,3374,Total,100,,,,3374
2,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,14,1,,0,472
2,Provider offered telemedicine prior to pandemic,Sex,Female,,No,65.3,1.1,,0,2203
2,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,12.9,0.8,,0,435
2,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,7.9,1,,0,267
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,1100,Total,100,,,,1100
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,13.3,1.4,,0,146
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,62.9,1.8,,0,692
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,12.6,1.3,,0,139
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,11.2,1.4,,0,123
2,Provider offered telemedicine prior to pandemic,Education,Some college,2215,Total,100,,,,2215
2,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,14.8,1.1,,0,328
2,Provider offered telemedicine prior to pandemic,Education,Some college,,No,62.5,1.2,,0,1384
2,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,13.9,1.2,,0,308
2,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,8.7,0.8,,0,193
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,2644,Total,100,,,,2644
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,14.3,0.8,,0,378
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,62.3,1,,0,1647
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,15,0.7,,0,397
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,8.4,0.6,,0,222
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,5304,Total,100,,,,5304
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,14.7,0.7,,0,780
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,61.9,0.9,,0,3283
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,13.7,0.7,,0,727
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,9.7,0.6,,1,514
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,655,Total,100,,,,655
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,9.4,0.9,,0,62
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,68.3,3.1,,0,447
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,14.5,2.6,,0,95
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,7.8,1.8,,0,51
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,3638,Total,100,,,,3638
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,15.4,0.8,,0,560
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,66.8,1.1,,0,2430
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,11.5,0.7,,0,418
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,6.2,0.5,,0,226
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,684,Total,100,,,,684
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,18,2.2,,0,123
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,68.7,2.4,,0,470
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,7.6,1.2,,0,52
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,5.7,1.4,,0,39
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,2181,Total,100,,,,2181
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,16,1,,0,349
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,67.9,1.4,,0,1481
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,10.8,0.9,,0,236
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.3,0.6,,0,116
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,618,Total,100,,,,618
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,16,1.2,,0,99
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,63.6,2.2,,0,393
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,11.8,2.3,,0,73
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,8.6,1.4,,0,53
