Source,ID,Description,Derived Data Needs,Data Content
NETCCN Phase 1 Task 2 MEC/MVP,6,"NETCCN mobile app provides an end user license agreement (EULA) and means to digitally consent appropriate end users for research studies
","EULA agreement and consent info associated with patient ID, date of agreement.",System User Info
NETCCN Phase 1 Task 2 MEC/MVP,8,NETCCN system provides a means to output survey and other applicable research project data,"Volume and type of data exported outside the NETCCN system (e.g. EHR systems research systems, dashboards)",System Utilization Info
NETCCN Phase 1 Task 2 MEC/MVP,11,The NETCCN system solution set will be available for testing of bandwidth usage and to assess resiliency for interrupted communications,Volume of data transferred per day?,System Utilization Info
NETCCN Phase 2 RPP,5,"Phase 1 Effort: Clinician facing web portal and/or mobile based application (goal is availability on every device) to support clinical and operational situational awareness and visualization of individual patients, groups of patients and their data, and care team groups",Access metrics on different types of devices? What information is being viewed or accessed and by whom?,System Utilization Info
NETCCN Phase 2 RPP,Task 2A,• Expand remote care provider participating to ensure scaling of the NETCCN system(s) ,"number of remote care providers using the system, location of remote care provider",System Utilization Info
NETCCN Phase 2 RPP,Task 3A,• Incorporation of a minimum of one decision support tool and/or visualization tool into the NETCCN system(s) that adds value to delivering tele-critical care. NOTE: This tool should not be duplicative with other NETCCN performer development efforts.,"decision support tool type, version, input data, rationale",System Utilization Info (use of features)
TiDE Learning Accelerator MPP,Tech Reqts,"bring together the TLA performer(s) to be awarded under this upcoming RPP with NETCCN performers, TATRC and key stakeholders to identify and prioritize research needs to improve tele-critical care for COVID through NETCCN and to provide recommendations on disaster medical support system improvements after a disaster response or disaster simulation event.","NETCCN performance measurements, diaster event name/ID, ","System Utilization Info

NETCCN Deployment Info"
NETCCN Phase 2 RPP,Task 2B,• Expand remote care provider participating to ensure scaling of the NETCCN system(s),,"System Utilization Info

Resource capacility, utilization, and management"
C-PAM RPP,Task 3C,"support the addition of capabilities to the NETCCN platform and study its deployment on a local, regional and national basis for COVID and other disasters","deployment metrics (where, how many, utilization)","System Utilization Info

Resource capacility, utilization, and management"
NETCCN Phase 2 RPP,4,"Phase 1 Effort: Secure, mobile communications capabilities, including synchronous audio/video, asynchronous messaging, and in some cases, access to continuous physiological monitoring","Metrics on number of synchronous audio and video comms, metrics on number of asynchronous messages, metrics on number and use of connections to physiological monitoring. Quality of comms, timeliness of comms/messaging, accuracy of data collection through physiological monitoring.","System Utilization Info

System Quality Info

System Connectivity/Interface Info"
NETCCN Phase 1 Task 2 MEC/MVP,2,"NETCCN system end users can download mobile app and/or access web portal (as applicable), register and authenticate their role:
Multiple patients can download/access and register to request/receive help asynchronously (text/e-mail) or synchronously (phone/video) using a mobile device via a mobile app (PATIENT)
Family members of patients can download/access and register to request/receive help asynchronously (text/e-mail) or synchronously (phone/video) using a mobile device via a mobile app (FAMILY CARE GIVER). Multiple local caregivers can download/access and register themselves and multiple patients. Multiple remote experts can download/access and register themselves in order to provide remote support using a mobile device and/or web portal (REMOTE EXPERT)in order to request/receive help using a mobile device via a mobile app (LOCAL CARE GIVER)","Information about how many patients, caregivers, clinicians are actively logged in and using the system, what module they are using (registration, consult, etc.). Number of asynchronous patient-provider and provider-provider comms, number of synchronous patient-provider and provider-provider comms. Response time: time between a request and response in asynchronous comms.

Imformation about the help/support features of the NETCCN system.","System Utilization Info

System Support Info"
NETCCN Phase 1 Task 2 MEC/MVP,3,"NETCCN System end users can identify and connect with current needs/demands.
Once registered, patients and/or family members of patients can directly request help from NETCCN healthcare providers (“local” or “remote”)
Once registered and professional licensure validated, local care givers and remote experts can identify and interact synchronously (e.g. voice and video) and asynchronously (e.g. text messaging and email) with patients and associated care team members within the NETCCN system",Same as above,
NETCCN Phase 2 RPP,7,Phase 1 Effort: Cloud based information storage,,
NETCCN Phase 2 RPP,10,enhance and scale the NETCCN resource for regional and national disaster response include incorporating new technologies and capabilities into the existing NETCCN ecosystems in a coordinated and collaborative fashion,,
NETCCN Phase 2 RPP,Task 1A,"• Coordinate with the FFRDC MITRE Device Interoperability and Autonomy Coordination Center (DIAAC) team and plan for future medical device integration of into the NETCCN ecosystem, as required ",,
NETCCN Phase 2 RPP,Task 2B,• Conduct initial and refresher NETCCN training on NETCCN existing and new functions and features as required though dedicated training environment,training environment info,
NETCCN Phase 2 RPP,Task 2B,• Provide a demonstration environment for government assessments and briefings.,demonstration environment info,
NETCCN Phase 2 RPP,Task 3A,• Develop a data visualization portal interface to provide continual data reporting from the NETCCN system instance(s),,
NETCCN Phase 2 RPP,Task 3A,• Establish a dedicated training instance of the NETCCN system(s),,
NETCCN Phase 2 RPP,Task 3A,• Establish a demonstration instance of the NETCCN system(s),,
C-PAM RPP,Task 3C,"support the extension of high-quality, “anywhere to anywhere” intensive care to locations that lack adequate critical care expertise and resources necessary for care of COVID-19-related illnesses",,
C-PAM RPP,Scope,"• Rapidly develop an MVP (minimum viable platform) prototype C-PAM, including required cloud-hosting, network, privacy and security controls (i.e., C-PAM prototype development);",,
C-PAM RPP,Scope,• Incorporate findings from C-PAM prototype testing to develop C-PAM V1.0 for deployment and use as part of NETCCN;,,
TiDE Learning Accelerator MPP,Components,"A Research Portal (currently under development) to provide access to data (and tools for
research and data science) in the TATRC data commons for use by the TiDE Learning
Accelerator performers and partners",,
TiDE Learning Accelerator MPP,Components,"Funding for NETCCN performers to contribute data, share insights and challenges
regarding delivery of tele-critical care for COVID and other disasters with TATRC and TLA
performers;",,
TiDE Learning Accelerator MPP,Components,"Funding for NETCCN performers to collaborate with TLA performers to prioritize and
conduct research and data science projects and findings / outputs;",,
TiDE Learning Accelerator MPP,Guiding Principles,"TLA performers will be expected to structure and perform research and data science projects in
such a way as to deliver insight to TATRC, NETCCN performers, and key stakeholders within 6-12
months. In addition to the TATRC data commons (and associated tools) and data available from
NETCCN performers, TLA performers may – as part of this project – identify and use additional
sources of public and private data and develop or use data infrastructures and associated analytic
and data science environments necessary to deliver measurable improvements to NETCCN care
delivery and operations.",public and private data sources from TLA performers,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"This topic is focused on accelerating mechanical ventilator and/or infusion pump
interoperability, remote control and integration into NETCCN (National Emergency Tele-
Critical Care Network) platforms in support of tele-critical care of COVID-19 patients.",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Establish project plans to modify devices to achieve the desired interoperability and
autonomy capabilities and obtain regulatory clearance, if required, of the modified
devices;",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Test and validate modified devices and capabilities to include means for the responsible
organization to verify correct operation;",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Demonstrate device capabilities, including risk-management strategies and security
controls related to remote control, in a pre-clinical testbed environment;",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,Integrate and incorporate devices into NETCCN platforms;,,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Participate in the evaluation of devices and capabilities in the delivery of tele-critical care
to COVID patients through NETCCN platforms for real-patient care.",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"The DIACC will develop a set of materials necessary to facilitate and assist device manufacturers
in developing, testing, validating and achieving applicable regulatory clearance of devices. In
addition, the DIACC will coordinate work with NETCCN performers to integrate devices into
NETCCN platforms.",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,Identification of candidate devices,,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Participation in project planning and project roadmap development for device
interoperability, remote control, future autonomy, and regulatory submission and
review;",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Collaborate with other vendors, DIAC, FDA, and MD PnP on identifying medical device
interface data sheets (MDIDS), using existing standards terminology where possible, to
provide safe remote control",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Collaborate with other vendors on identifying disaster medicine exemplar remote control
use cases, NETCCN platform common user interface, and safety assurance cases for
remote device control. Offerors shall have a plan to obtain an Emergency Use
Authorization (EUA) status from the U.S. Food and Drug Administration (FDA) in a disaster
setting where expert resources are diminished and/or not available",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Development of materials necessary to adapt interoperability and device control
standards and frameworks such as Integrated Clinical Environment (ICE) (ANSI/AAMI
2700-1: 2019), AAMI Consensus Report: Emergency Use Guidance for Remote Control of
Medical Devices (AAMI/CR511:202) and Medical Device Interoperability Reference
Architecture (MDIRA",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Preparation of regulatory submissions, reviews and other activities",,
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"Collaboration with the DIACC, NETCCN performers and other TATRC performers to
integrate devices into NETCCN platforms.",,
